,h2_gcta,h2_gwash,h2_ldsc_reg,icpt_ldsc_reg,h2_ldsc_fixed,h2_samp,h2_gwash_sample_theoretical_se,h2_ldsc_reg_jackknife_se,h2_ldsc_fixed_jackknife_se
0,0.20621091117120735,0.20536886595446077,0.41635884741212387,0.5199134623993048,0.20533377191915358,0.18293389283366843,0.020031384477299557,0.6746818998506728,0.020838128420133592
1,0.17129120569975453,0.1858647940821737,1.918552429907101,-2.469993162670359,0.18534935491650653,0.19099176141292115,0.01952658109962962,0.6323015847332977,0.0203106438837673
2,0.22684115478334213,0.22139153059879849,0.02126013354173608,1.4555451584646262,0.22148445972662537,0.21947436065562145,0.020431183794337254,0.7211019057676478,0.023072663050654352
3,0.1718315660625714,0.17732680306895898,-1.0340981103505984,3.757447255641949,0.1777451715931568,0.19779780409904615,0.019298965965640805,0.6178004367872842,0.020158527583889557
4,0.18404332684467276,0.18046891638835835,0.09996648590615691,1.1832489275675298,0.18050234325289505,0.1995143700871081,0.019383217643469952,0.683095709449814,0.0197029571713233
5,0.19613215774506243,0.1957474916273049,-0.17454222380686818,1.8428548222833354,0.19589913188009322,0.19469162435762524,0.019784935608432083,0.5961410994266347,0.021364040312962174
6,0.18105408963797917,0.18584176810246347,1.3787754588979866,-1.6739774167557417,0.18543485727508283,0.19155398670066673,0.01952597282424715,0.6475933154743451,0.021679739478124162
7,0.19776374542968722,0.20481413743262944,0.8433376031962947,-0.453058601458947,0.20463675679229337,0.2128483054224603,0.020017307937600603,0.48509323600335935,0.021771946055440278
8,0.18777225115791796,0.18615962880271475,-0.16653627552599254,1.802807214102941,0.18630724351695882,0.1976167640744082,0.019534367090329713,0.6197496798295246,0.02293223397986076
9,0.164438598335305,0.1727279846718194,-0.23822371733255637,1.9354109070847398,0.1728514792284477,0.198296549205479,0.019174615935094157,0.6099829828450668,0.01925261295442776
10,0.21829537632836649,0.22941377833403706,0.190043138397491,1.089676213320537,0.2294595089103854,0.21242145944747767,0.020626574791061517,0.6542603121468396,0.024466604324275307
11,0.1822176952447856,0.19072926438614582,0.5554214925256067,0.16957675158139054,0.19051258609789948,0.2011385155712474,0.01965442140420923,0.759266071883683,0.02276912204752675
